Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°C);Weather type;Notes
2020-09-13 00:21:26;2020-09-13 10:20:17;93%;0%;;0;0;Normal;102.3;;43.4;35930.6;30780.5;2395.4;2020-09-13 10:00:00;2020-09-13 10:30:00;true;1296.6;0.0;No weather;
2020-09-13 23:20:45;2020-09-14 07:00:39;85%;0%;;0;0;Normal;102.5;;33.4;27593.8;22535.0;2391.5;2020-09-14 07:00:00;2020-09-14 07:00:00;true;0.0;0.0;No weather;
2020-09-14 21:27:55;2020-09-15 06:45:21;85%;82%;;0;0;Normal;102.2;;44.6;33445.4;29654.9;668.9;2020-09-15 06:45:00;2020-09-15 06:45:00;true;443.4;0.0;No weather;
2020-09-15 22:15:13;2020-09-16 06:50:54;98%;87%;;0;0;Normal;101.8;;32.3;30940.9;27640.5;2165.9;2020-09-16 06:50:00;2020-09-16 06:50:00;true;331.7;0.0;No weather;
2020-09-16 22:11:41;2020-09-17 06:50:40;80%;91%;;0;0;Normal;102.7;;45.3;31138.7;25637.5;2802.5;2020-09-17 06:50:00;2020-09-17 06:50:00;true;250.0;0.0;No weather;
2020-09-18 00:20:25;2020-09-18 09:06:35;92%;85%;;0;12017;Normal;102.7;;38.5;31569.3;29885.6;1683.7;2020-09-18 09:00:00;2020-09-18 09:30:00;true;656.4;0.0;No weather;
2020-09-19 03:26:49;2020-09-19 11:50:58;76%;71%;;0;11212;Normal;102.0;;47.6;30248.7;23997.3;1109.1;2020-09-19 12:00:00;2020-09-19 12:30:00;true;306.7;0.0;No weather;
2020-09-20 22:50:14;2020-09-21 07:00:44;88%;36%;;0;11622;Normal;101.8;;38.2;29430.5;25996.9;1667.7;2020-09-21 07:00:00;2020-09-21 07:00:00;true;102.6;0.0;No weather;
2020-09-21 22:10:52;2020-09-22 07:00:25;75%;58%;;0;8388;Normal;101.3;;53.0;31773.1;27324.9;1270.9;2020-09-22 07:00:00;2020-09-22 07:00:00;true;2354.7;0.0;No weather;
2020-09-22 21:54:34;2020-09-23 07:15:54;76%;95%;;0;10950;Normal;100.4;;56.6;33679.7;27056.0;6623.7;2020-09-23 07:15:00;2020-09-23 07:15:00;true;968.2;0.0;No weather;
